File	Sample	Latitude	Longitude
1048C_R2.fastq.gz	1048C	34.51222234	-119.7546415
1048D_2_S12_L001_R1_001.fastq.gz	1048D	34.51222234	-119.7546415
1048D_2_S12_L001_R2_001.fastq.gz	1048D	34.51222234	-119.7546415
1049A_S19_L007_R1_001.fastq.gz	1049A	39.2602829	-121.0326289
1049A_S19_L007_R2_001.fastq.gz	1049A	39.2602829	-121.0326289
1049B_S20_L007_R1_001.fastq.gz	1049B	39.2602829	-121.0326289
1049B_S20_L007_R2_001.fastq.gz	1049B	39.2602829	-121.0326289
1049C_R1.fastq.gz	1049C	39.2602829	-121.0326289
1049C_R2.fastq.gz	1049C	39.2602829	-121.0326289
1049D_R1.fastq.gz	1049D	39.2602829	-121.0326289
1049D_R2.fastq.gz	1049D	39.2602829	-121.0326289
1050A_R1.fastq.gz	1050A	39.3196112	-120.6556394
1050A_R2.fastq.gz	1050A	39.3196112	-120.6556394
1050B_R1.fastq.gz	1050B	39.3196112	-120.6556394
1050B_R2.fastq.gz	1050B	39.3196112	-120.6556394
1050C_2_S10_L002_R1_001.fastq.gz	1050C	39.3196112	-120.6556394
1050C_2_S10_L002_R2_001.fastq.gz	1050C	39.3196112	-120.6556394
1050D_2_S13_L001_R1_001.fastq.gz	1050D	39.3196112	-120.6556394
1050D_2_S13_L001_R2_001.fastq.gz	1050D	39.3196112	-120.6556394
1051A_2_S14_L001_R1_001.fastq.gz	1051A	38.7604613	-120.5208654
1051A_2_S14_L001_R2_001.fastq.gz	1051A	38.7604613	-120.5208654
1052A_2_S15_L001_R1_001.fastq.gz	1052A	37.1762914	-122.0015682
1052A_2_S15_L001_R2_001.fastq.gz	1052A	37.1762914	-122.0015682
1052B_2_S16_L001_R1_001.fastq.gz	1052B	37.1809994	-122.0013975
1052B_2_S16_L001_R2_001.fastq.gz	1052B	37.1809994	-122.0013975
1053A_2_S17_L001_R1_001.fastq.gz	1053A	37.2067421	-122.0397981
1053A_2_S17_L001_R2_001.fastq.gz	1053A	37.2067421	-122.0397981
1053B_2_S11_L002_R1_001.fastq.gz	1053B	37.2087712	-122.04152
